Location1,Lat1,Lon1,Country1,Location2,Lat2,Lon2,Country2,Count,LetterIDs
Dell Rapids,43.8261,-96.7062,United States,Stjørdal,63.4697,10.9131,Norway,67,1;9;19;28;29;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;57;79;96;100;102;109;115;116;118;119;125;129;132;134;136;141;142;146;147;152;158;159;160;163;166;170;178;179;185;202;207;210;215;222;223;224;238;239;241;244;246;247
Dell Rapids,43.8261,-96.7062,United States,Trondheim,63.4305,10.3951,Norway,39,2;3;20;58;64;72;74;85;86;90;92;94;95;97;98;120;122;124;126;128;138;143;148;151;161;162;168;171;172;175;181;183;188;204;208;209;211;214;217
Dell Rapids,43.8261,-96.7062,United States,Narvik,68.4385,17.4273,Norway,32,103;108;111;112;114;121;123;130;135;140;153;154;156;164;165;176;182;203;206;213;216;218;225;227;229;230;231;232;235;237;240;245
Dell Rapids,43.8261,-96.7062,United States,Sluppen,63.3971,10.3924054,Norway,15,62;71;75;76;89;99;117;127;131;139;145;157;174;180;190
Dell Rapids,43.8261,-96.7062,United States,Hegra,63.46081073,11.103122494,Norway,5,18;63;110;113;149
Dell Rapids,43.8261,-96.7062,United States,Veggemo,68.63393,14.44385,Norway,5,4;5;7;8;234
Jasper,43.8499003,-96.39962774,United States,Trondheim,63.4305,10.3951,Norway,3,78;80;87
Dell Rapids,43.8261,-96.7062,United States,Heggedal,59.7856,10.437,Norway,2,69;73
Colman,43.98240091,-96.81446524,United States,Trondheim,63.4305,10.3951,Norway,2,68;70
Jasper,43.8499003,-96.39962774,United States,Stjørdal,63.4697,10.9131,Norway,2,30;65
Casablanca,33.5731,-7.5898,Morocco,Jasper,43.8499003,-96.39962774,United States,2,81;82
Dell Rapids,43.8261,-96.7062,United States,Hell,63.44498,10.90493,Norway,1,200
Dell Rapids,43.8261,-96.7062,United States,Moose Lake,46.4514,-92.7667,United States,1,56
Casablanca,33.5731,-7.5898,Morocco,Dell Rapids,43.8261,-96.7062,United States,1,83
Baltimore,39.2904,-76.6122,United States,Dell Rapids,43.8261,-96.7062,United States,1,91
Chicago,41.8781,-87.6298,United States,Dell Rapids,43.8261,-96.7062,United States,1,93
Dell Rapids,43.8261,-96.7062,United States,Meråker,63.4167,11.75,Norway,1,23
Dell Rapids,43.8261,-96.7062,United States,Lakselvbukt,69.433946,19.645192,Norway,1,167
Dell Rapids,43.8261,-96.7062,United States,Solheim,63.746665,11.296943,Norway,1,169
Sioux Falls,43.5473359,-96.74147846,United States,Trondheim,63.4305,10.3951,Norway,1,173
Dell Rapids,43.8261,-96.7062,United States,Oslo,59.9139,10.7522,Norway,1,187
Dell Rapids,43.8261,-96.7062,United States,Fornebu,59.8833,10.6167,Norway,1,205
Dell Rapids,43.8261,-96.7062,United States,Nesttun,60.32,5.35,Norway,1,212
Båtsfjord,70.63404,29.720229,Norway,Dell Rapids,43.8261,-96.7062,United States,1,22
Dell Rapids,43.8261,-96.7062,United States,Elvegård,68.256127,17.4016211,Norway,1,248
