Letter ID,Title,Date,Creator,Top Terms (comma-separated)
1,"Aase Holm to John Holm 1948.1.23",1948.01.12,"Aase Holm","christmas(0.039), stein(0.036), turid(0.036), eilif(0.034), ragnhild(0.029), eve(0.022), tree(0.022), children(0.022), ski(0.021), halsen(0.018)"
2,"Agnes Tangvik to John Holm 1947.9.26",1947.09.26,"Agnes Tangvik","revival(0.050), jesus(0.044), step(0.040), salvation(0.037), sleep(0.032), prayer(0.032), meeting(0.028), song(0.027), meetings(0.027), pkg(0.025)"
3,"Agnes Tangvik to John Holm 1947.12.30",1947.12.30,"Agnes Tangvik","banks(0.054), bikes(0.051), pen(0.042), agnes(0.041), sverre(0.038), customs(0.037), wonderfully(0.034), piggy(0.034), fighting(0.034), suggest(0.034)"
4,"Ågot Søberg to Alma C. Wilson 1948.2.14",1948.02.14,"Ågot Søberg","edvart(0.061), gretha(0.058), søberg(0.038), school(0.037), jan(0.031), 12th(0.026), understood(0.025), sad(0.023), 14-2-48(0.020), unhappy(0.020)"
5,"Ågot Søberg to Alma C. Wilson 1946.12",1946.12,"Ågot Søberg","km(0.068), mile(0.036), edvart(0.030), walk(0.030), towns(0.030), road(0.027), school(0.024), old(0.023), greta(0.022), didn(0.022)"
6,"Ågoth Søberg to Alma C. Wilson 1956.12.2",1956.12.02,"Ågoth Søberg","bergliot(0.088), thompsen(0.067), ortley(0.050), edvard(0.035), 2-12-56(0.034), ireland(0.034), godmother(0.034), font(0.034), lived(0.032), marie(0.031)"
7,"Ågoth Søberg to Alma C. Wilson 1947.5.17",1947.05.17,"Ågoth Søberg","parade(0.084), arriving(0.073), 17th(0.063), ågoth(0.063), greta(0.054), johan(0.047), celebrations(0.042), freely(0.042), photographed(0.042), slip(0.042)"
8,"Ågoth Søberg to Alma C. Wilson 1948.10.17",1948.10.17,"Ågoth Søberg","gretha(0.055), tonight(0.053), visitor(0.039), mineapolis(0.039), schooling(0.039), halden(0.039), points(0.039), 17-10-48(0.039), calves(0.034), phone(0.034)"
9,"Alma C. Wilson to Stjørdalens Sparebank 1948.4.27",1948.04.27,"Alma C. Wilson","holm(0.090), stjørdalen(0.080), norway(0.070), rosenborg(0.057), strinda(0.057), daughterklara(0.057), exectrutrix(0.057), markus(0.051), dead(0.051), conrad(0.050)"
10,"Alma C. Wilson to Klara Krogstad 1948.10.6",1948.10.06,"Siri Lawson, trans.","mother(0.028), hasn(0.022), child(0.019), table(0.019), customs(0.019), shortest(0.017), shakers(0.017), spoons(0.017), horn(0.017), ivory(0.017)"
11,"Alma C. Wilson to Edvard and Hanna Eidum 1948.3.16",1948.03.16,"Alma C. Wilson","bank(0.053), ole(0.044), 200(0.039), john(0.033), money(0.031), wrote(0.028), reply(0.027), mother(0.025), why(0.024), poor(0.024)"
12,"Alma C. Wilson to Axel Holm 1948.4.19",1948.04.19,"Alma C. Wilson","couldn(0.069), demanded(0.062), florence(0.058), 19th(0.053), moving(0.053), 48(0.051), certificate(0.051), unusually(0.051), nonsense(0.048), ole(0.047)"
13,"Alma C. Wilson to Ola Holm 1948.2.20",1948.02.20,"Alma C. Wilson","nose(0.056), regretted(0.034), john(0.031), knew(0.028), evelyn(0.026), late(0.022), doctor(0.022), 2-20-48(0.021), minded(0.021), coughed(0.021)"
14,"Alma C. Wilson to Axel and Laura Holm 1948.1.20",1948.01.20,"Alma C. Wilson","priest(0.088), january(0.074), recipe(0.073), funeral(0.055), buried(0.052), save(0.052), illness(0.046), anyone(0.040), 20-48(0.037), lutheran(0.037)"
15,"Alma C. Wilson to Edvard and Hanna Eidum 1948.9.26",1948.09.26,"Alma C. Wilson","hannah(0.051), broken(0.044), bones(0.039), surprised(0.037), divide(0.028), signed(0.028), flu(0.028), money(0.027), ole(0.026), afraid(0.025)"
16,"Alma C. Wilson to Unknown Undated",Unknown,"Alma C. Wilson","jens(0.204), trønderlag(0.204), baltic(0.204), wednesday(0.178), olsen(0.178), henry(0.178), wash(0.152), tuesday(0.144), spent(0.137), folks(0.127)"
17,"Alma C. Wilson to Axel Holm 1948.4.28",1948.04.28,"Alma C. Wilson","banken(0.108), reasons(0.108), stjørdals(0.094), demanded(0.094), forgot(0.086), 48(0.076), included(0.076), 28(0.073), names(0.070), wrote(0.068)"
18,"Alma C. Wilson to Hegre Sparebank 1948.3.16",1948.03.16,"Alma C. Wilson","bank(0.170), hegre(0.169), 3-16-1948(0.141), rapids(0.126), dell(0.124), calculations(0.123), 108(0.123), spare(0.113), honorable(0.113), gentlemen(0.100)"
19,"Alma C. Wilson to Stjørdalen Sparebank 1948.3.16",1948.03.16,"Alma C. Wilson","rapids(0.096), dell(0.095), reply(0.086), 16-48(0.086), honorable(0.086), 102(0.086), anybody(0.081), gentlemen(0.076), sincerely(0.076), hereby(0.073)"
20,"Alma C. Wilson to Trondhjems Handels Bank 1948.3.16",1948.03.16,"Alma C. Wilson","rapids(0.160), dell(0.157), bank(0.144), trondhjems(0.120), handels(0.120), commercial(0.105), 108(0.105), 16-48(0.096), honorable(0.096), gentlemen(0.085)"
21,"Untitled Song Undated",Unknown,"Alma C. Wilson","handwriting(0.618), song(0.503), looks(0.243), norwegian(0.176), alma(0.077), s(0.020)"
22,"Anna Pettersen to John Holm 1946.12.2",1946.12.02,"Siri Lawson, trans.","12-48(0.074), necessities(0.074), fisherman(0.074), coats(0.074), pettersen(0.074), båtsfjord(0.074), size(0.072), liberty(0.065), 52(0.065), 42(0.065)"
23,"Anna Holm Sundberg to Alma Holm Vilson 1946.2.20",1946.02.20,"Anna Holm Sundberg","senile(0.043), jorun(0.043), died(0.037), married(0.036), owns(0.029), bjørg(0.029), kari(0.029), tora(0.029), leif(0.029), folke(0.029)"
24,"En Styg Ulykke - Clipping Markus Fatal Accident 1914.10",1914.10,"Siri Lawson, trans.","occurred(0.121), confirmed(0.097), accident(0.078), train(0.070), southbound(0.060), approx(0.060), desouled(0.060), 1-13(0.060), pointing(0.060), arildsløkken(0.053)"
