Letter ID,Title,Date,Creator,Top Terms (comma-separated)
1,"Aase Holm to John Holm 1948.1.23",1948.01.12,"Aase Holm","turid(0.048), barna(0.045), ragnhild(0.038), stein(0.038), eilif(0.037), lillesøster(0.036), juletræet(0.032), juledag(0.029), juleaften(0.029), stas(0.024)"
2,"Agnes Tangvik to John Holm 1947.9.26",1947.09.26,"Agnes Tangvik","tænker(0.055), skrittet(0.050), jesus(0.041), hvet(0.040), bøn(0.038), kveld(0.034), tar(0.031), sang(0.030), fåt(0.028), netop(0.028)"
3,"Agnes Tangvik to John Holm 1947.12.30",1947.12.30,"Agnes Tangvik","bøssene(0.074), pakket(0.064), fåt(0.062), guttene(0.055), altfor(0.046), agnes(0.044), jo(0.042), sverre(0.041), tollen(0.037), syklene(0.037)"
4,"Ågot Søberg to Alma C. Wilson 1948.2.14",1948.02.14,"Ågot Søberg","gretha(0.068), edvart(0.055), nådde(0.046), søberg(0.044), jan(0.036), skolen(0.035), tru(0.031), forstod(0.031), brevet(0.028), tenk(0.027)"
5,"Ågot Søberg to Alma C. Wilson 1946.12",1946.12,"Ågot Søberg","km(0.064), beholde(0.037), tøi(0.034), tenk(0.033), edvart(0.033), heiter(0.032), gammelt(0.027), år(0.026), gutt(0.025), angår(0.024)"
6,"Ågoth Søberg to Alma C. Wilson 1956.12.2",1956.12.02,"Ågoth Søberg","bergliot(0.061), ortley(0.053), bodde(0.053), bergljot(0.044), kanskje(0.042), fått(0.037), vet(0.036), 2-12-56(0.035), irdland(0.035), syd-amerika(0.035)"
7,"Ågoth Søberg to Alma C. Wilson 1947.5.17",1947.05.17,"Ågoth Søberg","fritt(0.059), ågoth(0.059), mai(0.055), greta(0.051), tog(0.049), johan(0.044), festlighetene(0.040), postlegge(0.040), vaie(0.040), fedrelandssanger(0.040)"
8,"Ågoth Søberg to Alma C. Wilson 1948.10.17",1948.10.17,"Ågoth Søberg","gretha(0.054), herfra(0.040), reist(0.037), kamerat(0.036), strakst(0.036), forløp(0.036), mineapolis(0.036), søke(0.036), skolegang(0.036), sommerens(0.036)"
9,"Alma C. Wilson to Stjørdalens Sparebank 1948.4.27",1948.04.27,"Alma C. Wilson","holm(0.096), norge(0.087), stjørdalen(0.081), bror(0.071), conrad(0.058), utbetales(0.057), utdele(0.057), rosenborg(0.057), strinda(0.057), exectrutrix(0.057)"
10,"Alma C. Wilson to Klara Krogstad 1948.10.6",1948.10.06,"Siri Lawson, trans.","ska(0.058), inte(0.040), same(0.038), enskønt(0.031), kulde(0.029), flu(0.027), forkjølelse(0.027), kome(0.027), mor(0.025), fik(0.024)"
11,"Alma C. Wilson to Edvard and Hanna Eidum 1948.3.16",1948.03.16,"Alma C. Wilson","af(0.066), ska(0.062), dete(0.056), sa(0.050), stakkers(0.044), ole(0.042), sente(0.038), john(0.036), 200(0.036), banken(0.035)"
12,"Alma C. Wilson to Axel Holm 1948.4.19",1948.04.19,"Alma C. Wilson","ret(0.101), tøisen(0.063), flytter(0.063), pladsen(0.063), hand(0.063), veir(0.061), daarlig(0.058), florence(0.057), attest(0.055), hvormeget(0.055)"
13,"Alma C. Wilson to Ola Holm 1948.2.20",1948.02.20,"Alma C. Wilson","hade(0.073), maate(0.053), ale(0.053), lide(0.036), pake(0.036), angret(0.033), john(0.032), forsent(0.030), stakkers(0.029), kunde(0.028)"
14,"Alma C. Wilson to Axel and Laura Holm 1948.1.20",1948.01.20,"Alma C. Wilson","begraven(0.074), sygdom(0.074), januar(0.072), begravelsen(0.072), prest(0.065), ale(0.048), spare(0.044), ole(0.038), 20-48(0.037), opskriften(0.037)"
15,"Alma C. Wilson to Edvard and Hanna Eidum 1948.9.26",1948.09.26,"Alma C. Wilson","tilbage(0.058), vilde(0.047), ale(0.046), hannah(0.043), forbauset(0.040), dete(0.036), rete(0.036), sete(0.036), red(0.036), dele(0.035)"
16,"Alma C. Wilson to Unknown Undated",Unknown,"Alma C. Wilson","wednesday(0.141), folks(0.141), half(0.141), jens(0.141), ibesøg(0.141), trunderlage(0.141), baltic(0.141), tirsdagen(0.141), now(0.123), maaneder(0.123)"
17,"Alma C. Wilson to Axel Holm 1948.4.28",1948.04.28,"Alma C. Wilson","demes(0.096), aarsag(0.096), enan(0.096), daarlig(0.089), arbeids(0.084), stjørdals(0.077), forlangt(0.077), glemte(0.077), modtog(0.077), ska(0.072)"
18,"Alma C. Wilson to Hegre Sparebank 1948.3.16",1948.03.16,"Alma C. Wilson","hegre(0.157), bank(0.147), d(0.132), 3-16-1948(0.131), doller(0.131), regning(0.131), rapids(0.116), dell(0.114), ærede(0.104), 108(0.104)"
19,"Alma C. Wilson to Stjørdalen Sparebank 1948.3.16",1948.03.16,"Alma C. Wilson","trenges(0.098), trekke(0.098), rapids(0.087), svar(0.087), march(0.086), dell(0.085), 16-48(0.078), ærede(0.078), daler(0.078), erbødigst(0.078)"
20,"Alma C. Wilson to Trondhjems Handels Bank 1948.3.16",1948.03.16,"Alma C. Wilson","d(0.189), rapids(0.166), dell(0.163), bank(0.140), trondhjems(0.125), s(0.110), march(0.109), handels(0.109), 16-48(0.100), ærede(0.100)"
21,"Untitled Song Undated",Unknown,"Alma C. Wilson","amanda(0.403), herman(0.403), up(0.161), ti(0.141), ven(0.121), crans(0.081), haaren(0.081), trohed(0.081), svor(0.081), falskhed(0.081)"
22,"Anna Pettersen to John Holm 1946.12.2",1946.12.02,"Siri Lawson, trans.","nr(0.103), 12-48(0.095), frihet(0.095), avstå(0.095), klævarer(0.095), metervarer(0.095), eksisterer(0.095), ribbet(0.095), skaffet(0.095), derfår(0.095)"
23,"Anna Holm Sundberg to Alma Holm Vilson 1946.2.20",1946.02.20,"Anna Holm Sundberg","gift(0.052), åse(0.047), leif(0.047), folke(0.047), senil(0.047), jorun(0.047), døde(0.046), brage(0.041), hær(0.038), bjørg(0.032)"
24,"En Styg Ulykke - Clipping Markus Fatal Accident 1914.10",1914.10,"Siri Lawson, trans.","indtraf(0.150), 4-tiden(0.075), sydgaaende(0.075), overkjørte(0.075), anlægsarbeider(0.075), gruskjøring(0.075), maskinen(0.075), mandens(0.075), avsjælede(0.075), bragtes(0.075)"
25,"Ulykke Paa Jernbanelinjen Clipping Markus Accident 1914.10",1914.10,"Siri Lawson, trans.","linjen(0.158), jernbanelinjen(0.121), skaaret(0.121), istykker(0.096), idet(0.096), ulykke(0.090), overkjørt(0.090), toget(0.075), partert(0.060), jernbanearbeider(0.060)"
26,"Død i Amerika Clipping John Holm Obituary 1948",1948,"Siri Lawson, trans.","holmsplass(0.050), somre(0.050), silver(0.050), lake(0.050), overleves(0.050), to(0.049), hembre(0.044), heimen(0.044), peter(0.044), stjørdalshalsen(0.044)"
27,"John Holm to Axel Holm 1946.7.8 Partial Letter",1946.07.08,"John Holm","ligt(0.096), banken(0.094), daler(0.088), avskrift(0.082), stjørdalens(0.074), sparebank(0.064), aa(0.062), hunder(0.055), tel(0.055), sendd(0.055)"
28,"Axel Holm to Alma C. Wilson 1952.3.1",1952.03.01,"Axel Holm","jesus(0.048), 1952(0.039), uteblitt(0.039), soning(0.039), dårligt(0.039), hushjelp(0.039), uhygge(0.039), hjemmene(0.039), miljø(0.039), fører(0.039)"
29,"Axel Holm to John Holm 1947.7.2",1947.07.02,"Axel Holm","veldige(0.042), ingenlunde(0.042), dei(0.037), herren(0.034), lad(0.028), glemmer(0.028), gav(0.027), hjelp(0.024), opdal(0.023), jorden(0.022)"
30,"Axel Holm to John Holm 1938.3.2",1938.03.02,"Axel Holm","lad(0.061), fortapt(0.061), mangen(0.043), liv(0.039), sang(0.036), møtes(0.031), mars-1938(0.030), hyggeligt(0.030), gjikt(0.030), dorligt(0.030)"
31,"Axel Holm to Alma C. Wilson 1949.4.3",1949.04.03,"Axel Holm","hveret(0.087), frø(0.065), blei(0.054), dø(0.052), benken(0.044), gjorden(0.044), frøe(0.044), forat(0.044), selbuskogen(0.044), imorest(0.044)"
32,"Axel Holm to John Holm 1945.12.3",1945.12.03,"Axel Holm","kone(0.041), teppe(0.038), hansker(0.038), nils(0.038), gården(0.038), vilje(0.035), fot(0.031), kniver(0.029), greit(0.029), foet(0.027)"
33,"Axel Holm to John Holm 1947.6.3",1947.06.03,"Axel Holm","utsyn(0.066), 35(0.057), tusin(0.038), alll(0.038), haggelbygger(0.038), artikel(0.038), fryktet(0.038), greddet(0.038), påkjenningen(0.038), skatten(0.038)"
34,"Axel Holm to John Holm 1918.3.3",1918.03.03,"Axel Holm","jesus(0.059), herren(0.058), maatte(0.053), 3-3-1918(0.048), mad(0.048), forvisset(0.048), virksom(0.048), udover(0.048), vederkvegelsens(0.048), tilidag(0.048)"
35,"Axel Holm to Alma C. Wilson 1945.10.3",1945.10.03,"Axel Holm","os(0.035), kristus(0.034), tyske(0.034), måte(0.026), imot(0.024), 3-10-45(0.024), valgsjau(0.024), stortingsvalg(0.024), nøisem(0.024), goder(0.024)"
36,"Axel Holm to John Holm 1947.10.3",1947.10.03,"Axel Holm","netopp(0.042), poteter(0.036), utt(0.035), dei(0.033), ilistrurere(0.028), bussen(0.028), dødstur(0.028), volsom(0.028), parsaserer(0.028), heldigt(0.028)"
37,"Axel Holm to John Holm 1919.4.4",1919.04.04,"Axel Holm","1ste(0.070), vennelaget(0.059), forretning(0.039), veret(0.036), ud(0.032), maatte(0.032), 1919(0.029), besvaret(0.029), glædeligt(0.029), spanske(0.029)"
38,"Axel Holm to John Holm 1917.2.5",1917.02.05,"Axel Holm","jesus(0.128), øian(0.092), øians(0.092), magrethe(0.070), prise(0.061), peder(0.061), naven(0.056), lov(0.050), samlet(0.043), herlig(0.042)"
39,"Axel Holm to Alma C. Wilson 1946.2.5",1946.02.05,"Axel Holm","pakken(0.030), 5-2-1946(0.029), jakett(0.029), foett(0.029), søstra(0.029), hinannen(0.029), formann(0.029), frimisjonen(0.029), sukkersyken(0.029), rykte(0.029)"
40,"Axel Holm to John Holm 1946.8.7",1946.08.07,"Axel Holm","1(0.074), vakert(0.053), bringebær(0.047), hammer(0.043), pr(0.041), netop(0.030), fortegnelsen(0.027), fulte(0.027), storkjynna(0.027), desvere(0.027)"
41,"Axel Holm to Alma C. Wilson 1946.12.7",1946.12.07,"Axel Holm","gammle(0.066), gjikk(0.033), kraft(0.028), jul(0.027), johan(0.024), siger(0.024), helga(0.023), 7-12-1946(0.022), uttgår(0.022), enstund(0.022)"
42,"Axel Holm to Alma C. Wilson 1947.9.8",1947.09.08,"Axel Holm","ivei(0.080), nåde(0.038), 8-9-1947(0.033), haggel(0.033), dypen(0.033), pie(0.033), sykurss(0.033), anlægg(0.033), søm(0.033), åndelig(0.033)"
43,"Axel Holm to Karoline Holm 1948.7.9",1948.07.09,"Laura Karlson","broders(0.072), dateret(0.072), stjørdals(0.066), julay(0.066), dele(0.053), gjertine(0.053), gaven(0.051), olava(0.049), sparebank(0.048), 1946(0.048)"
44,"Axel Holm to Alma C. Wilson 1948.6.9",1948.06.09,"Axel Holm","papirer(0.086), form(0.075), utt(0.054), 9-6-48(0.043), svuld(0.043), slakteriet(0.043), dages(0.043), innkomme(0.043), grei(0.043), forkjøllet(0.043)"
45,"Axel Holm to John Holm 1946.7.10",1946.07.10,"Axel Holm","1(0.051), innholdt(0.042), forlite(0.042), staten(0.039), tak(0.031), folket(0.029), vad(0.028), tusin(0.026), dårlig(0.026), 10-7-1946(0.026)"
46,"Axel Holm to John Holm 1946.12.11",1946.12.11,"Axel Holm","ax(0.145), vad(0.064), 11-12-1946(0.060), vertt(0.060), enok(0.060), nyttar(0.060), prost(0.060), rode(0.060), hette(0.060), fød(0.060)"
47,"Axel Holm to Alma C. Wilson 1948.4.15",1948.04.15,"Axel Holm","derre(0.127), uttbetale(0.090), møtt(0.045), savn(0.042), mulig(0.042), folket(0.034), 15-4-48(0.030), dres(0.030), kjisten(0.030), vilken(0.030)"
48,"Axel Holm to Alma C. Wilson 1948.3.16",1948.03.16,"Axel Holm","pengene(0.055), derre(0.052), dødsboe(0.049), vitt(0.043), fott(0.043), prøve(0.040), saken(0.035), penger(0.034), johans(0.032), søskende(0.032)"
49,"Axel Holm to John Holm 1947.8.17",1947.08.17,"Axel Holm","jarl(0.046), sundalsøra(0.038), fiske(0.038), barndoms(0.038), stein(0.035), fjellet(0.028), kraft(0.028), meter(0.026), dei(0.025), land(0.022)"
50,"Axel Holm to John Holm 1946.7.17",1946.07.17,"Axel Holm","foet(0.038), slåtten(0.034), 39(0.034), koser(0.034), trafekk(0.034), flyrute(0.034), rapid(0.034), sedder(0.034), viner(0.034), amerikans(0.034)"
51,"Mathilda Halvorson to Karoline Holm 1911.10.10",1911.10.10,"Mathilda Halvorson","tørt(0.111), alkoly(0.085), ude(0.085), signe(0.085), deadwood(0.085), sturges(0.085), faar(0.055), byen(0.045), 10th(0.043), 1911(0.043)"
52,"Emigration Certificate 1914.7.31",1914.07.31,"Unknown","horneman(0.125), hegre(0.112), 20de(0.100), h(0.088), n(0.075), udflytningsattest(0.062), kirkebogen(0.062), husmand(0.062), markussen(0.062), tredevte(0.062)"
53,"Ola Holm to John Holm 1914.10.17",1914.10.17,"Ola Holm","hændte(0.077), sidste(0.077), vistnok(0.062), af(0.060), tænk(0.047), utklip(0.044), derpaa(0.044), taltes(0.044), forskillige(0.044), grufuld(0.044)"
54,"Ola Holm 1914.10.19",1914.10.19,"Ola Holm","af(0.057), haaber(0.055), oct(0.042), 19-14(0.042), forlangende(0.042), tillader(0.042), øieblikkelig(0.042), tilfølge(0.042), nærhed(0.042), sønderlæmmet(0.042)"
55,"Olav Holm to John Holm 1915.9.17",1915.09.17,"Olav Holm","jig(0.114), fader(0.084), begravelsen(0.084), afgik(0.044), iaften(0.044), sovned(0.044), utskrevet(0.044), stiftelsen(0.044), foregaar(0.044), foreldreløs(0.044)"
56,"A. H. Voler to Karonline Holm 1916.4.4",1916.04.04,"A. H. Voler","vordan(0.073), hær(0.054), ud(0.050), gien(0.045), krimen(0.045), hyærtelig(0.045), same(0.042), raser(0.040), væl(0.040), plas(0.036)"
57,"Axel Holm to John Holm 1917.1.30",1917.01.30,"Axel Holm","jesus(0.105), vangberg(0.097), øian(0.085), maatte(0.053), ham(0.045), staar(0.042), herren(0.039), nær(0.037), ønsket(0.037), a(0.035)"
58,"Ola Holm to John Holm 1917.12.26",1917.12.26,"Ola Holm","from(0.119), well(0.111), are(0.105), having(0.074), am(0.074), money(0.074), of(0.074), yet(0.074), suppose(0.074), if(0.065)"
59,"Ola Holm to John Holm 1923.12.2",1923.12.02,"Ola Holm","shop(0.070), starte(0.070), vaaren(0.060), haaper(0.048), kunde(0.041), tools(0.040), tyrefjord(0.040), indstilles(0.040), rush(0.040), autos(0.040)"
60,"Sonja Holm to John Holm 1925.3.17",1925.03.17,"Sonja Holm","k(0.135), veninder(0.135), ski(0.096), visst(0.087), sinden(0.077), vuggen(0.077), sparket(0.077), skrek(0.077), speider(0.077), ustyrlig(0.077)"
61,"Berith Holm to John Holm 1925.3.17",1925.03.17,"Berith Holm","tommer(0.097), nor(0.085), blive(0.060), engelske(0.060), skulderen(0.052), berith(0.046), af(0.044), sige(0.038), betale(0.038), have(0.038)"
62,"Klara Krogstad to Alma C. Wilson 1932.9.6",1932.09.06,"Klara Krogstad","haanden(0.044), kjolerne(0.044), heter(0.042), gut(0.038), piker(0.031), kry(0.030), september(0.029), 21(0.029), været(0.028), sy(0.027)"
63,"Conrad Holm to John Holm 1926.2.7",1926.02.07,"Conrad Holm","bygget(0.064), likesaa(0.064), haape(0.056), ifjord(0.056), trøan(0.051), litet(0.051), svigerinde(0.048), bodde(0.048), jord(0.040), 1926(0.032)"
64,"Ola Holm to to John Holm 1925.3.25",1925.03.25,"Ola Holm","3-25(0.047), check(0.047), modløs(0.047), tungsint(0.047), hjælpen(0.047), nærmest(0.047), snilhet(0.047), held(0.047), gjengæld(0.047), lukker(0.047)"
65,"Stjørdalens Sparebank to John Holm 1938.5.2",1938.05.02,"Stjørdalens Sparebank","stjørdalens(0.091), f(0.084), t(0.076), spareank(0.068), 1938(0.068), boxt(0.068), forespørgsel(0.068), meddeles(0.068), forrenter(0.068), opsigelse(0.068)"
66,"Sonja Holm to John Holm 1934.2.15",1934.02.15,"Sonja Holm","cleo(0.092), effi(0.082), regner(0.075), sonja(0.061), 2-34(0.058), sportskniv(0.058), skirenne(0.058), skiløpere(0.058), skandinavia(0.058), såkalte(0.058)"
67,"Ola Holm to John Holm 1930.1.26",1930.01.26,"Ola Holm","kjendte(0.095), electric(0.079), ubetydelig(0.069), besøg(0.069), faa(0.065), 1-30(0.040), elændige(0.040), utstillingen(0.040), klik(0.040), hestskoing(0.040)"
68,"Ola Holm to John Holm Card 1933.12.19",1933.12.19,"Ola Holm","brother(0.292), glædelig(0.273), ønskes(0.273), dear(0.246), bedste(0.236), gott(0.219), haaper(0.219), nyt(0.212), os(0.136), ole(0.125)"
69,"Laura Karlson to Alma Vilson 1933.12.3",1933.12.03,"Laura Karlson","12-1933(0.148), framsiden(0.148), kryset(0.148), kryss(0.130), huset(0.125), gledelig(0.119), arvid(0.119), jør(0.111), heggedal(0.100), kortet(0.100)"
